,date,buy_price,sell_price,gain,streak,pl,bO,bH,bL,sO,sH,sL,,,,,,,,,,,
0,2020-02-03 00:00:00+05:30,11707.9,11979.65,271.75,1,1,,,,,,,,,,,,,,,,,
1,2020-02-19 00:00:00+05:30,12125.9,12080.85,-45.05,1,0,,,,,,,,,,,,,,,,,
2,2020-03-06 00:00:00+05:30,10989.45,10451.45,-538,2,0,,,,,,,,,,,,Column Labels,,,,,
3,2020-03-13 00:00:00+05:30,9955.2,9197.4,-757.8,3,0,,,,,,,,,,,,0,,1,,Total Count of date,Total Sum of gain
4,2020-03-19 00:00:00+05:30,8263.45,8745.45,482,1,1,,,,,,,,,,,Row Labels,Count of date,Sum of gain,Count of date,Sum of gain,,
5,2020-03-25 00:00:00+05:30,8317.85,8641.45,323.6,2,1,,,,,,,,,,,1,20,-2237,20,3119,40,882.1
6,2020-04-07 00:00:00+05:30,8792.2,8748.75,-43.45,1,0,,,,,,,,,,,2,5,-758,11,1314,16,555.76
7,2020-05-12 00:00:00+05:30,9196.54,9383.54,187,1,1,,,,,,,,,,,3,3,-865,6,1065,9,199.91
8,2020-05-20 00:00:00+05:30,9066.54,9106.25,39.71,2,1,,,,,,,,,,,4,1,-276,5,574,6,298
9,2020-06-12 00:00:00+05:30,9972.9,9813.7,-159.2,1,0,,,,,,,,,,,5,1,-40,3,229,4,189.15
10,2020-07-01 00:00:00+05:30,10430.04,10551.7,121.66,1,1,,,,,,,,,,,6,,,2,288,2,288.3
11,2020-07-16 00:00:00+05:30,10739.95,10901.7,161.75,2,1,,,,,,,,,,,7,,,2,265,2,265.3
12,2020-08-04 00:00:00+05:30,11095.25,11101.65,6.4,3,1,,,,,,,,,,,Grand Total,30,-4176,49,6855,79,2678.52
13,2020-08-18 00:00:00+05:30,11385.35,11408.4,23.05,4,1,,,,,,,,,,,,,,,,,
14,2020-09-09 00:00:00+05:30,11278,11449.25,171.25,5,1,,,,,,,,,,,,,,,,,
15,2020-09-25 00:00:00+05:30,11050.25,11227.55,177.3,6,1,,,,,,,,,,,,,,,,,
16,2020-10-16 00:00:00+05:30,11762.45,11873.05,110.6,7,1,,,,,,,,,,,,,,,,,
17,2020-10-27 00:00:00+05:30,11889.4,11729.6,-159.8,1,0,,,,,,,,,,,,,,,,,
18,2020-11-03 00:00:00+05:30,11813.5,11908.5,95,1,1,,,,,,,,,,,,,,,,,
19,2021-01-19 00:00:00+05:30,14521.15,14644.7,123.55,2,1,,,,,,,,,,,,,,,,,
20,2021-01-28 00:00:00+05:30,13817.55,13634.6,-182.95,1,0,,,,,,,,,,,,,,,,,
21,2021-02-24 00:00:00+05:30,14982,15097.35,115.35,1,1,,,,,,,,,,,,,,,,,
22,2021-03-19 00:00:00+05:30,14744,14736.4,-7.6,1,0,,,,,,,,,,,,,,,,,
23,2021-03-26 00:00:00+05:30,14507.3,14845.1,337.8,1,1,,,,,,,,,,,,,,,,,
24,2021-04-13 00:00:00+05:30,14504.8,14581.45,76.65,2,1,,,,,,,,,,,,,,,,,
25,2021-04-22 00:00:00+05:30,14406.15,14341.35,-64.8,1,0,,,,,,,,,,,,,,,,,
26,2021-05-05 00:00:00+05:30,14617.85,14724.8,106.95,1,1,,,,,,,,,,,,,,,,,
27,2021-06-21 00:00:00+05:30,15746.5,15772.75,26.25,2,1,,,,,,,,,,,,,,,,,
28,2021-07-02 00:00:00+05:30,15722.2,15834.35,112.15,3,1,,,,,,,,,,,,,,,,,
29,2021-07-13 00:00:00+05:30,15812.35,15853.95,41.6,4,1,,,,,,,,,,,,,,,,,
30,2021-07-22 00:00:00+05:30,15824.05,15856.05,32,5,1,,,,,,,,,,,,,,,,,
