,date,buy_price,sell_price,gain,pl,streak,buy_open,buy_low,buy_high,sell_open,sell_low,sell_high,negOpening,posClosing,ns,nO,movDay,,,,,,
4,2020-03-19 00:00:00+05:30,8263.45,8745.45,482,1,1,8063.3,7832.55,8575.45,8284.45,8178.2,8883,21,482,FALSE,0,461,,,,,,
54,2022-08-29 00:00:00+05:30,17312.9,17759.3,446.4,1,3,17188.65,17166.2,17380.15,17414.95,17401.5,17777.65,102.05,446.4,FALSE,0,344.35,,,Row Labels,Count of date,Sum of gain,
23,2021-03-26 00:00:00+05:30,14507.3,14845.1,337.8,1,1,14506.3,14414.25,14572.9,14628.5,14617.6,14876.3,121.2,337.8,FALSE,0,216.6,,,0,31,-3649.66,-117.7309677
43,2022-03-08 00:00:00+05:30,16013.45,16345.35,331.9,1,1,15747.75,15671.45,16028.75,16078,15990,16418.05,64.55,331.9,FALSE,0,267.35,,61%,1,48,6719.17,139.9827083
5,2020-03-25 00:00:00+05:30,8317.85,8641.45,323.6,1,2,7735.15,7714.75,8376.75,8451,8304.9,8749.04,133.15,323.6,FALSE,0,190.45,,,Grand Total,79,3069.51,38.85455696
67,2023-03-29 00:00:00+05:30,17080.7,17359.75,279.05,1,4,16977.3,16940.6,17126.15,17210.35,17204.65,17381.6,129.65,279.05,FALSE,0,149.4,,,,,,
0,2020-02-03 00:00:00+05:30,11707.9,11979.65,271.75,1,1,11627.45,11614.5,11749.85,11786.25,11783.4,11986.15,78.35,271.75,,0,193.4,,,,,,
66,2023-02-02 00:00:00+05:30,17610.4,17854.05,243.65,1,3,17517.1,17445.95,17653.9,17721.75,17584.2,17870.3,111.35,243.65,FALSE,0,132.3,,,,,,
37,2021-12-01 00:00:00+05:30,17166.9,17401.65,234.75,1,1,17104.4,17064.25,17213.05,17183.2,17149.3,17420.34,16.3,234.75,FALSE,0,218.45,,,,,,
52,2022-07-15 00:00:00+05:30,16049.2,16278.5,229.3,1,1,16010.8,15927.3,16066.95,16151.4,16142.2,16287.95,102.2,229.3,FALSE,0,127.1,,,,,,
55,2022-09-19 00:00:00+05:30,17622.25,17816.25,194,1,4,17540.65,17429.7,17667.2,17770.4,17744.4,17919.3,148.15,194,FALSE,0,45.85,,,,,,
