,trade_type,entry_time,exit_time,entry_price,exit_price,profit,profitable,signal_time,stock
0,BUY,-1.0,-1.0,3214.6,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ABB
0,BUY,-1.0,-1.0,163.7,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ABCAPITAL
0,SELL,-1.0,-1.0,656.8,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ADANIPORTS
0,SELL,-1.0,-1.0,3362.3,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ALKEM
0,BUY,-1.0,-1.0,383.4,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,AMBUJACEM
0,SELL,-1.0,-1.0,4332.7,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,APOLLOHOSP
0,SELL,-1.0,-1.0,331.7,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,APOLLOTYRE
0,BUY,-1.0,-1.0,139.9,-1.0,-1.0,-1.0,2023-04-18 16:00:00+05:30,ASHOKLEY
0,BUY,-1.0,-1.0,2858.6,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ASIANPAINT
0,BUY,-1.0,-1.0,1453.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ASTRAL
0,BUY,-1.0,-1.0,694.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,AUBANK
0,BUY,-1.0,-1.0,579.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,AUROPHARMA
0,BUY,-1.0,-1.0,864.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,AXISBANK
0,BUY,-1.0,-1.0,4212.4,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BAJAJ-AUTO
0,BUY,-1.0,-1.0,1336.8,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BAJAJFINSV
0,SELL,-1.0,-1.0,5909.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BAJFINANCE
0,BUY,-1.0,-1.0,409.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BALRAMCHIN
0,BUY,-1.0,-1.0,213.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BANDHANBNK
0,BUY,-1.0,-1.0,103.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BEL
0,BUY,-1.0,-1.0,580.4,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BERGEPAINT
0,BUY,-1.0,-1.0,75.6,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BHEL
0,BUY,-1.0,-1.0,232.7,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BIOCON
0,SELL,-1.0,-1.0,18788.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BOSCHLTD
0,BUY,-1.0,-1.0,335.3,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BPCL
0,SELL,-1.0,-1.0,4289.6,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,BRITANNIA
0,SELL,-1.0,-1.0,256.0,-2.0,-1.0,-1.0,2023-04-18 10:45:00+05:30,BSOFT
0,BUY,-1.0,-1.0,564.7,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,CANFINHOME
0,SELL,-1.0,-1.0,283.2,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,CHAMBLFERT
0,BUY,2023-04-18 10:30:00+05:30,2023-04-18 15:15:00+05:30,843.8,839.8,-4.0,0.0,2023-04-18 10:15:00+05:30,CHOLAFIN
0,BUY,2023-04-18 12:00:00+05:30,2023-04-18 15:15:00+05:30,906.4,925.1,18.700000000000045,1.0,2023-04-18 10:15:00+05:30,CIPLA
0,BUY,-1,-1,4059.2,-1.0,-1.0,-1.0,2023-04-18 16:00:00+05:30,COFORGE
0,SELL,-1,-1,1549.9,-2.0,-1.0,-1.0,2023-04-18 10:15:00+05:30,COLPAL
0,BUY,-1,-1,609.6,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,CONCOR
0,SELL,-1,-1,294.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,CROMPTON
0,BUY,-1,-1,130.3,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,CUB
0,SELL,-1,-1,1487.7,-2.0,-1.0,-1.0,2023-04-18 10:15:00+05:30,CUMMINSIND
0,BUY,-1,-1,521.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,DABUR
0,SELL,-1,-1,2031.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,DALBHARAT
0,BUY,-1,-1,1870.2,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,DEEPAKNTR
0,SELL,-1,-1,2974.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,DIXON
0,BUY,-1,-1,4918.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,DRREDDY
0,BUY,-1,-1,3266.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,EICHERMOT
0,SELL,-1,-1,1974.7,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ESCORTS
0,BUY,-1,-1,187.3,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,EXIDEIND
0,SELL,-1,-1,541.6,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,GNFC
0,SELL,-1,-1,967.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,GODREJCP
0,SELL,-1,-1,1304.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,GODREJPROP
0,BUY,-1,-1,301.6,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,GRANULES
0,BUY,-1,-1,1706.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,GRASIM
0,SELL,-1,-1,468.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,GUJGASLTD
0,SELL,-1,-1,2823.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,HAL
0,BUY,-1,-1,1214.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,HAVELLS
0,BUY,-1,-1,2751.3,-2.0,-1.0,-1.0,2023-04-18 10:15:00+05:30,HDFC
0,SELL,-1,-1,2444.8,-2.0,-1.0,-1.0,2023-04-18 10:15:00+05:30,HEROMOTOCO
0,SELL,-1,-1,2531.6,-2.0,-1.0,-1.0,2023-04-18 10:15:00+05:30,HINDUNILVR
0,BUY,-1,-1,35881.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,HONAUT
0,BUY,-1,-1,897.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ICICIBANK
0,BUY,-1,-1,1137.2,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ICICIGI
0,SELL,-1,-1,80.2,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,IDFC
0,BUY,-1,-1,56.7,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,IDFCFIRSTB
0,BUY,-1,-1,154.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,IEX
0,BUY,-1,-1,495.4,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,IGL
0,BUY,-1,-1,330.6,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,INDHOTEL
0,SELL,-1,-1,188.4,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,INDIACEM
0,BUY,-1,-1,1965.2,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,INDIGO
0,SELL,-1,-1,1144.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,INDUSINDBK
0,BUY,2023-04-18 10:30:00+05:30,2023-04-18 15:15:00+05:30,138.5,137.4,-1.0999999999999943,0.0,2023-04-18 10:15:00+05:30,INDUSTOWER
0,BUY,-1,-1,1259.8,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,INFY
0,BUY,-1,-1,439.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,INTELLECT
0,BUY,-1,-1,831.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,IPCALAB
0,BUY,-1,-1,603.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,IRCTC
0,SELL,-1,-1,398.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ITC
0,BUY,-1,-1,567.4,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,JINDALSTEL
0,SELL,-1,-1,3003.7,-2.0,-1.0,-1.0,2023-04-18 11:45:00+05:30,JKCEMENT
0,SELL,-1,-1,718.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,JSWSTEEL
0,SELL,-1,-1,439.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,JUBLFOOD
0,BUY,-1,-1,89.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,L&TFH
0,BUY,-1,-1,1900.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,LALPATHLAB
0,BUY,-1,-1,310.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,LAURUSLABS
0,BUY,-1,-1,332.8,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,LICHSGFIN
0,SELL,-1,-1,4311.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,LTIM
0,SELL,-1,-1,697.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,LUPIN
0,BUY,-1,-1,1206.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,M&M
0,BUY,-1,-1,260.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,M&MFIN
0,BUY,-1,-1,480.3,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,MARICO
0,BUY,-1,-1,776.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,MCDOWELL-N
0,BUY,-1,-1,1451.6,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,MCX
0,BUY,-1,-1,1297.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,METROPOLIS
0,BUY,-1,-1,1019.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,MGL
0,BUY,-1,-1,1789.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,MPHASIS
0,SELL,-1,-1,4599.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,NAVINFLUOR
0,BUY,-1,-1,112.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,NMDC
0,BUY,-1,-1,926.3,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,OBEROIRLTY
0,SELL,-1,-1,3290.4,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,OFSS
0,SELL,-1,-1,160.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ONGC
0,SELL,-1,-1,37903.3,-2.0,-1.0,-1.0,2023-04-18 10:45:00+05:30,PAGEIND
0,SELL,-1,-1,4341.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,PERSISTENT
0,SELL,-1,-1,162.4,-2.0,-1.0,-1.0,2023-04-18 12:45:00+05:30,PFC
0,SELL,-1,-1,2429.8,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,PIDILITIND
0,BUY,-1,-1,3162.3,-1.0,-1.0,-1.0,2023-04-18 16:00:00+05:30,PIIND
0,BUY,-1,-1,3098.3,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,POLYCAB
0,SELL,-1,-1,230.4,-2.0,-1.0,-1.0,2023-04-18 13:45:00+05:30,POWERGRID
0,BUY,-1,-1,1551.6,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,PVR
0,BUY,-1,-1,159.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,RAIN
0,BUY,-1,-1,123.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,RECLTD
0,BUY,-1,-1,2342.0,-1.0,-1.0,-1.0,2023-04-18 16:00:00+05:30,RELIANCE
0,BUY,-1,-1,82.4,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,SAIL
0,SELL,-1,-1,769.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,SBICARD
0,BUY,-1,-1,1146.8,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,SBILIFE
0,SELL,-1,-1,545.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,SBIN
0,SELL,-1,-1,1333.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,SHRIRAMFIN
0,SELL,-1,-1,989.3,-2.0,-1.0,-1.0,2023-04-18 10:15:00+05:30,SUNPHARMA
0,BUY,-1,-1,425.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,SUNTV
0,BUY,-1,-1,933.0,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,TATACHEM
0,BUY,-1,-1,1215.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,TATACOMM
0,SELL,-1,-1,472.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,TATAMOTORS
0,BUY,-1,-1,107.7,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,TATASTEEL
0,BUY,-1,-1,3133.3,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,TCS
0,BUY,-1,-1,1026.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,TECHM
0,BUY,-1,-1,2579.4,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,TITAN
0,SELL,-1,-1,1589.8,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,TORNTPHARM
0,BUY,-1,-1,1146.5,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,TVSMOTOR
0,SELL,-1,-1,1397.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,UBL
0,BUY,-1,-1,7605.8,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ULTRACEMCO
0,BUY,2023-04-18 12:15:00+05:30,2023-04-18 15:15:00+05:30,834.6,835.4,0.7999999999999545,1.0,2023-04-18 11:30:00+05:30,VOLTAS
0,SELL,-1,-1,359.3,-2.0,-1.0,-1.0,2023-04-18 10:15:00+05:30,WIPRO
0,BUY,-1,-1,204.1,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ZEEL
0,BUY,-1,-1,516.9,-1.0,-1.0,-1.0,2023-04-18 16:15:00+05:30,ZYDUSLIFE
