,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,264713,1034,HANGSENG BEES-NAV,HANGSENG BEES-NAV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
1,264969,1035,INDIA VIX,INDIA VIX,0.0,,0.0,0.0,0,EQ,INDICES,NSE
2,260617,1018,NIFTY 100,NIFTY 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
3,264457,1033,NIFTY 200,NIFTY 200,0.0,,0.0,0.0,0,EQ,INDICES,NSE
4,256265,1001,NIFTY 50,NIFTY 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
5,268041,1047,NIFTY 500,NIFTY 500,0.0,,0.0,0.0,0,EQ,INDICES,NSE
6,265993,1039,NIFTY ALPHA 50,NIFTY ALPHA 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
7,273673,1069,NIFTY ALPHALOWVOL,NIFTY ALPHALOWVOL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
8,263433,1029,NIFTY AUTO,NIFTY AUTO,0.0,,0.0,0.0,0,EQ,INDICES,NSE
9,260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
10,257289,1005,NIFTY COMMODITIES,NIFTY COMMODITIES,0.0,,0.0,0.0,0,EQ,INDICES,NSE
11,288777,1128,NIFTY CONSR DURBL,NIFTY CONSR DURBL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
12,257545,1006,NIFTY CONSUMPTION,NIFTY CONSUMPTION,0.0,,0.0,0.0,0,EQ,INDICES,NSE
13,268297,1048,NIFTY CPSE,NIFTY CPSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
14,257033,1004,NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
15,261641,1022,NIFTY ENERGY,NIFTY ENERGY,0.0,,0.0,0.0,0,EQ,INDICES,NSE
16,257801,1007,NIFTY FIN SERVICE,NIFTY FIN SERVICE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
17,288265,1126,NIFTY FINSRV25 50,NIFTY FINSRV25 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
18,261897,1023,NIFTY FMCG,NIFTY FMCG,0.0,,0.0,0.0,0,EQ,INDICES,NSE
19,270345,1056,NIFTY GROWSECT 15,NIFTY GROWSECT 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
20,269065,1051,NIFTY GS 10YR,NIFTY GS 10YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
21,269321,1052,NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,0.0,,0.0,0.0,0,EQ,INDICES,NSE
22,269577,1053,NIFTY GS 11 15YR,NIFTY GS 11 15YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
23,269833,1054,NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,0.0,,0.0,0.0,0,EQ,INDICES,NSE
24,268553,1049,NIFTY GS 4 8YR,NIFTY GS 4 8YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
25,268809,1050,NIFTY GS 8 13YR,NIFTY GS 8 13YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
26,270089,1055,NIFTY GS COMPSITE,NIFTY GS COMPSITE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
27,288521,1127,NIFTY HEALTHCARE,NIFTY HEALTHCARE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
28,291337,1138,NIFTY IND DIGITAL,NIFTY IND DIGITAL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
29,291081,1137,NIFTY INDIA MFG,NIFTY INDIA MFG,0.0,,0.0,0.0,0,EQ,INDICES,NSE
30,261385,1021,NIFTY INFRA,NIFTY INFRA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
31,259849,1015,NIFTY IT,NIFTY IT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
32,289545,1131,NIFTY LARGEMID250,NIFTY LARGEMID250,0.0,,0.0,0.0,0,EQ,INDICES,NSE
33,290825,1136,NIFTY M150 QLTY50,NIFTY M150 QLTY50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
34,263945,1031,NIFTY MEDIA,NIFTY MEDIA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
35,263689,1030,NIFTY METAL,NIFTY METAL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
36,290569,1135,NIFTY MICROCAP250,NIFTY MICROCAP250,0.0,,0.0,0.0,0,EQ,INDICES,NSE
37,270601,1057,NIFTY MID LIQ 15,NIFTY MID LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
38,288009,1125,NIFTY MID SELECT,NIFTY MIDCAP SELECT (MIDCPNIFTY),0.0,,0.0,0.0,0,EQ,INDICES,NSE
39,256777,1003,NIFTY MIDCAP 100,NIFTY MIDCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
40,266249,1040,NIFTY MIDCAP 150,NIFTY MIDCAP 150,0.0,,0.0,0.0,0,EQ,INDICES,NSE
41,260873,1019,NIFTY MIDCAP 50,NIFTY MIDCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
42,266505,1041,NIFTY MIDSML 400,NIFTY MIDSML 400,0.0,,0.0,0.0,0,EQ,INDICES,NSE
43,262153,1024,NIFTY MNC,NIFTY MNC,0.0,,0.0,0.0,0,EQ,INDICES,NSE
44,270857,1058,NIFTY NEXT 50,NIFTY NEXT 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
45,289033,1129,NIFTY OIL AND GAS,NIFTY OIL AND GAS,0.0,,0.0,0.0,0,EQ,INDICES,NSE
46,262409,1025,NIFTY PHARMA,NIFTY PHARMA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
47,262665,1026,NIFTY PSE,NIFTY PSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
48,262921,1027,NIFTY PSU BANK,NIFTY PSU BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
49,271113,1059,NIFTY PVT BANK,NIFTY PVT BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
50,261129,1020,NIFTY REALTY,NIFTY REALTY,0.0,,0.0,0.0,0,EQ,INDICES,NSE
51,263177,1028,NIFTY SERV SECTOR,NIFTY SERV SECTOR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
52,267017,1043,NIFTY SMLCAP 100,NIFTY SMLCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
53,267273,1044,NIFTY SMLCAP 250,NIFTY SMLCAP 250,0.0,,0.0,0.0,0,EQ,INDICES,NSE
54,266761,1042,NIFTY SMLCAP 50,NIFTY SMLCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
55,290313,1134,NIFTY TOTAL MKT,NIFTY TOTAL MKT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
56,271881,1062,NIFTY100 EQL WGT,NIFTY100 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
57,291593,1139,NIFTY100 ESG,NIFTY100 ESG,0.0,,0.0,0.0,0,EQ,INDICES,NSE
58,267785,1046,NIFTY100 LIQ 15,NIFTY100 LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
59,272137,1063,NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
60,272393,1064,NIFTY100 QUALTY30,NIFTY100 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
61,289801,1132,NIFTY100ESGSECLDR,NIFTY100ESGSECLDR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
62,265737,1038,NIFTY200 QUALTY30,NIFTY200 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
63,290057,1133,NIFTY200MOMENTM30,NIFTY200MOMENTM30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
64,265225,1036,NIFTY50 DIV POINT,NIFTY50 DIV POINT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
65,271625,1061,NIFTY50 EQL WGT,NIFTY50 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
66,259081,1012,NIFTY50 PR 1X INV,NIFTY50 PR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
67,258825,1011,NIFTY50 PR 2X LEV,NIFTY50 PR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
68,259593,1014,NIFTY50 TR 1X INV,NIFTY50 TR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
69,259337,1013,NIFTY50 TR 2X LEV,NIFTY50 TR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
70,267529,1045,NIFTY50 VALUE 20,NIFTY50 VALUE 20,0.0,,0.0,0.0,0,EQ,INDICES,NSE
71,289289,1130,NIFTY500 MULTICAP,NIFTY500 MULTICAP,0.0,,0.0,0.0,0,EQ,INDICES,NSE
72,3775233,14747,011NSETEST,011NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
73,3776257,14751,021NSETEST,021NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
74,3776769,14753,031NSETEST,031NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
75,3777281,14755,041NSETEST,041NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
76,3778049,14758,051NSETEST,051NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
77,3779073,14762,061NSETEST,061NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
78,3779585,14764,071NSETEST,071NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
79,3780353,14767,081NSETEST,081NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
80,3780865,14769,091NSETEST,091NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
81,1749249,6833,1018GS2026-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
82,3781633,14772,101NSETEST,101NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
83,3782145,14774,111NSETEST,111NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
84,3287297,12841,11NSETEST,11NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
85,3782913,14777,121NSETEST,121NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
86,3783169,14778,131NSETEST,131NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
87,3783937,14781,141NSETEST,141NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
88,3784193,14782,151NSETEST,151NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
89,3784705,14784,161NSETEST,161NSETEST,0.0,,0.0,0.05,1,EQ,NSE,NSE
90,3259393,12732,182D010623-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
91,3584001,14000,182D030823-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
92,3014401,11775,182D040523-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
93,2925569,11428,182D060423-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
94,3489025,13629,182D060723-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
95,3700993,14457,182D070923-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
96,3341569,13053,182D080623-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
97,3618561,14135,182D100823-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
98,3043841,11890,182D110523-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
99,2948609,11518,182D130423-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
100,3513857,13726,182D130723-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
101,3729665,14569,182D140923-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
102,3363073,13137,182D150623-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
103,3627521,14170,182D170823-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
104,3069185,11989,182D180523-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
105,2972161,11610,182D200423-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
106,3530241,13790,182D200723-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
107,3394305,13259,182D220623-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
108,3755009,14668,182D220923-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
109,3656705,14284,182D240823-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
110,3164161,12360,182D250523-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
111,2997761,11710,182D280423-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
112,3566849,13933,182D280723-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
113,3431681,13405,182D290623-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
114,3682049,14383,182D310823-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
115,4331777,16921,20MICRONS,20 MICRONS,0.0,,0.0,0.05,1,EQ,NSE,NSE
116,1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,0.0,,0.0,0.05,1,EQ,NSE,NSE
117,3343617,13061,360ONE,360 ONE WAM,0.0,,0.0,0.05,1,EQ,NSE,NSE
118,3585025,14004,364D010224-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
119,2511105,9809,364D010623-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
120,3014657,11776,364D021123-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
121,2705153,10567,364D030823-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
122,3489281,13630,364D040124-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
123,2388481,9330,364D040523-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
124,2925825,11429,364D051023-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
125,2269185,8864,364D060423-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
126,2630145,10274,364D060723-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
127,3701249,14458,364D070324-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
128,2797313,10927,364D070923-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
129,3342337,13056,364D071223-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
130,3618817,14136,364D080224-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
131,2519297,9841,364D080623-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
132,3044865,11894,364D091123-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
133,2730753,10667,364D100823-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
134,3514369,13728,364D110124-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
135,2420993,9457,364D110523-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
136,2298881,8980,364D120423-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
137,2948865,11519,364D121023-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
138,2647553,10342,364D130723-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
139,3730689,14573,364D140324-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
140,2804225,10954,364D140923-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
141,3363329,13138,364D141223-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
142,3627777,14171,364D150224-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
143,2528513,9877,364D150623-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
144,3069697,11991,364D161123-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
145,2735873,10687,364D170823-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
146,3530753,13792,364D180124-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
147,2440961,9535,364D180523-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
148,2972417,11611,364D191023-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
149,2321921,9070,364D200423-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
150,2662913,10402,364D200723-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
151,2831105,11059,364D210923-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
