itkn,EQ
4331777,20MICRONS
1025,21STCENMGM
3343617,360ONE
1595393,3IINFOLTD
121345,3MINDIA
664321,3PLAND
2781697,4THDIM-BE
113921,5PAISA
3038209,63MOONS
5351937,A2ZINFRA
3208449,AAATECH
60161,AAKASH
1342721,AAREYDRUGS
263681,AARON
1147137,AARTIDRUGS
1793,AARTIIND
3550209,AARTIPHARM
4923649,AARTISURF
3525377,AARVEEDEN
4882689,AARVI
1378561,AAVAS
2561,ABAN
3329,ABB
4583169,ABBOTINDIA
5533185,ABCAPITAL
1993473,ABCOTS-SM
7707649,ABFRL
2821633,ABINFRA-SM
1421057,ABMINTLLTD-BE
1540609,ABSLAMC
3580673,ABSLBANETF
1878785,ABSLNN50ET
5633,ACC
1805569,ACCELYA
375041,ACCURACY
3478273,ACE
3016705,ACEINTEG-BE
3078145,ACI
6401,ADANIENT
912129,ADANIGREEN
3861249,ADANIPORTS
4451329,ADANIPOWER
2615553,ADANITRANS
5058817,ADFFOODS
63489,ADL-BE
8705,ADORWELD
1267969,ADROITINFO
3792129,ADSL
3774721,ADVANIHOTR
4617985,ADVENZYMES
10241,AEGISCHEM
2511361,AETHER
2903809,AFFLE
867585,AGARIND
361473,AGI
2685697,AGNI-SM
2834433,AGRITECH
2315777,AGROPHOS
2029313,AGSTRA
3401729,AHL
513025,AHLADA
4976129,AHLEAST
4565249,AHLUCONT
3350017,AIAENG
1184257,AILIMITED-SM
2533633,AIRAN
1553409,AIROLAM
2079745,AJANTPHARM
4430593,AJMERA
871169,AJOONI
3458561,AKASH
557057,AKG
2447361,AKSHAR-BE
5165569,AKSHARCHEM
2199297,AKSHOPTFBR
375553,AKZOINDIA
2539777,ALANKIT
4417537,ALBERTDAVD
20225,ALEMBICLTD
3495937,ALICON
4341505,ALKALI
2995969,ALKEM
1148673,ALKYLAMINE
3456257,ALLCARGO
3379969,ALLETEC-SM
3020289,ALLSEC
4280065,ALMONDZ
4524801,ALOKINDS
3801089,ALPA
3736833,ALPHAGEO
1039361,ALPSINDUS
25601,AMARAJABAT
303361,AMBER
2942977,AMBICAAGAR
3899905,AMBIKCO
325121,AMBUJACEM
3685889,AMDIND
2789889,AMEYA-SM
1427969,AMIORG
665089,AMJLAND
4492033,AMRUTANJAN
1829121,ANANDRATHI
3486721,ANANTRAJ
42497,ANDHRAPAP
34817,ANDHRSUGAR
1332737,ANDREWYU
82945,ANGELONE
4264193,ANIKINDS
7534081,ANKITMETAL
3496193,ANLON-SM
954113,ANMOL
2866689,ANNAPURNA-SM
1329665,ANTGRAPHIC
2307585,ANUP
724225,ANURAS
2941697,APARINDS
5235969,APCL
39425,APCOTEXIND
5535489,APEX
6599681,APLAPOLLO
6483969,APLLTD
290305,APOLLO
40193,APOLLOHOSP
3676417,APOLLOPIPE
41729,APOLLOTYRE
1613313,APOLSINHOT
2753281,APTECHT
1391361,APTUS
4299521,ARCHIDPLY
1456129,ARCHIES
46337,ARENTERP
3351553,ARHAM-SM
3892225,ARIES
3415041,ARIHANTACA-SM
976129,ARIHANTCAP
5160705,ARIHANTSUP
3565057,ARISTO-SM
4419329,ARMANFIN
3726593,AROGRANITE
2370561,ARROWGREEN
4562177,ARSHIYA
4329729,ARTEMISMED
1575937,ARTNIRMAN
720385,ARVEE
49409,ARVIND
2332417,ARVINDFASN
2676993,ARVSMART
1376769,ASAHIINDIA
6422529,ASAHISONG
2722305,ASAL
4505089,ASALCBR
51969,ASHAPURMIN
6247169,ASHIANA
52737,ASHIMASYN
5166593,ASHOKA
54273,ASHOKLEY
1799681,ASIANENE
4716033,ASIANHOTNR
60417,ASIANPAINT
3811585,ASIANTILES
4421121,ASPINWALL
4538369,ASTEC
386049,ASTERDM
3691009,ASTRAL
2974209,ASTRAMICRO
1436161,ASTRAZEN
223745,ASTRON
144897,ATALREAL-SM
425729,ATFL
1552897,ATGL
3477761,ATLANTA
67329,ATUL
7685889,ATULAUTO
5436929,AUBANK
3077633,AURIONPRO
70401,AUROPHARMA
2639361,AURUM
1033473,AUSOMENT
71169,AUTOAXLES
2017281,AUTOBEES
3611137,AUTOIND
5479937,AVADHSUGAR
2031617,AVANTIFEED
3470593,AVONMORE
2259713,AVROIND
3586049,AVTNPL
460033,AWHCL
2076161,AWL
1510401,AXISBANK
267265,AXISBNKETF
903681,AXISBPSETF
2415617,AXISCADES
1467393,AXISCETF
5256193,AXISGOLD
923649,AXISHCETF
2865409,AXISILVER
5440513,AXISNIFTY
770561,AXISTECETF
2534913,AXITA
3773953,AXSENSEX
2632961,AYMSYNTEX
4540161,BAFNAPH-BE
2873857,BAGFILMS
3325185,BAHETI-SM
3531265,BAIDFIN
4267265,BAJAJ-AUTO
4999937,BAJAJCON
3848705,BAJAJELEC
4268801,BAJAJFINSV
1756929,BAJAJHCARE
78849,BAJAJHIND
78081,BAJAJHLDNG
81153,BAJFINANCE
2344449,BALAJITELE
3712257,BALAMINES
2895105,BALAXI
2606337,BALKRISHNA
85761,BALKRISIND
86529,BALMLAWRIE
3440897,BALPHARMA
87297,BALRAMCHIN
88833,BANARBEADS
89601,BANARISUG
3553281,BANCOINDIA
579329,BANDHANBNK
3917569,BANG
210433,BANKA
1195009,BANKBARODA
2928385,BANKBEES
1214721,BANKINDIA
3714817,BANSWRAS
800513,BARBEQUE
94209,BASF
3080705,BASML
94977,BATAINDIA
4589313,BAYERCROP
1842177,BBETF0432
3522817,BBL
879361,BBOX
97281,BBTC
3111169,BBTCL
2261249,BCG
643329,BCLIND
1991681,BCONCEPTS
2985473,BCP
548865,BDL
4590849,BEARDSELL
416769,BECTORFOOD
5170177,BEDMUTHA
98049,BEL
101121,BEML
107265,BEPL
103425,BERGEPAINT
590337,BESTAGRO
20737,BETA-SM
1449473,BEWLTD-SM
5404929,BFINVEST
3729153,BFUTILITIE
