itkn,EQ
1793,AARTIIND
3329,ABB
4583169,ABBOTINDIA
5533185,ABCAPITAL
7707649,ABFRL
5633,ACC
6401,ADANIENT
3861249,ADANIPORTS
2995969,ALKEM
325121,AMBUJACEM
40193,APOLLOHOSP
41729,APOLLOTYRE
54273,ASHOKLEY
60417,ASIANPAINT
3691009,ASTRAL
67329,ATUL
5436929,AUBANK
70401,AUROPHARMA
1510401,AXISBANK
4267265,BAJAJ-AUTO
4268801,BAJAJFINSV
81153,BAJFINANCE
85761,BALKRISIND
87297,BALRAMCHIN
579329,BANDHANBNK
1195009,BANKBARODA
1214721,BANKNIFTY
94977,BATAINDIA
98049,BEL
103425,BERGEPAINT
108033,BHARATFORG
2714625,BHARTIARTL
112129,BHEL
2911489,BIOCON
558337,BOSCHLTD
134657,BPCL
140033,BRITANNIA
1790465,BSOFT
2763265,CANBK
149249,CANFINHOME
163073,CHAMBLFERT
175361,CHOLAFIN
177665,CIPLA
5215745,COALINDIA
2955009,COFORGE
3876097,COLPAL
1215745,CONCOR
189185,COROMANDEL
4376065,CROMPTON
1459457,CUB
486657,CUMMINSIND
197633,DABUR
2067201,DALBHARAT
5105409,DEEPAKNTR
3851265,DELTACORP
2800641,DIVISLAB
5552641,DIXON
3771393,DLF
225537,DRREDDY
232961,EICHERMOT
245249,ESCORTS
173057,EXIDEIND
261889,FEDERALBNK
958465,FINNIFTY
1207553,GAIL
1895937,GLENMARK
3463169,GMRINFRA
300545,GNFC
2585345,GODREJCP
4576001,GODREJPROP
3039233,GRANULES
315393,GRASIM
2713345,GUJGASLTD
589569,HAL
2513665,HAVELLS
1850625,HCLTECH
340481,HDFC
1086465,HDFCAMC
341249,HDFCBANK
119553,HDFCLIFE
345089,HEROMOTOCO
348929,HINDALCO
4592385,HINDCOPPER
359937,HINDPETRO
356865,HINDUNILVR
874753,HONAUT
7712001,IBULHSGFIN
1270529,ICICIBANK
5573121,ICICIGI
4774913,ICICIPRULI
3677697,IDEA
3060993,IDFC
2863105,IDFCFIRSTB
56321,IEX
2883073,IGL
387073,INDHOTEL
387841,INDIACEM
2745857,INDIAMART
2865921,INDIGO
1346049,INDUSINDBK
7458561,INDUSTOWER
408065,INFY
1517057,INTELLECT
415745,IOC
418049,IPCALAB
3484417,IRCTC
424961,ITC
1723649,JINDALSTEL
3397121,JKCEMENT
3001089,JSWSTEEL
4632577,JUBLFOOD
492033,KOTAKBANK
6386689,L&TFH
2983425,LALPATHLAB
4923905,LAURUSLABS
511233,LICHSGFIN
2939649,LT
4561409,LTIM
4752385,LTTS
2672641,LUPIN
519937,M&M
3400961,M&MFIN
4879617,MANAPPURAM
1041153,MARICO
2815745,MARUTI
2674433,MCDOWELL-N
7982337,MCX
2452737,METROPOLIS
548353,MFSL
4488705,MGL
2594305,MIDCPNIFTY
1076225,MOTHERSON
1152769,MPHASIS
582913,MRF
6054401,MUTHOOTFIN
1629185,NATIONALUM
3520257,NAUKRI
3756033,NAVINFLUOR
4598529,NESTLEIND
7571713,NIFTY
3924993,NMDC
2977281,NTPC
5181953,OBEROIRLTY
2748929,OFSS
633601,ONGC
3689729,PAGEIND
617473,PEL
4701441,PERSISTENT
2905857,PETRONET
3660545,PFC
681985,PIDILITIND
6191105,PIIND
2730497,PNB
2455041,POLYCAB
3834113,POWERGRID
3365633,PVR
3926273,RAIN
523009,RAMCOCEM
4708097,RBLBANK
3930881,RECLTD
738561,RELIANCE
758529,SAIL
4600577,SBICARD
5582849,SBILIFE
779521,SBIN
794369,SHREECEM
1102337,SHRIRAMFIN
806401,SIEMENS
837889,SRF
857857,SUNPHARMA
3431425,SUNTV
2622209,SYNGENE
871681,TATACHEM
952577,TATACOMM
878593,TATACONSUM
884737,TATAMOTORS
877057,TATAPOWER
895745,TATASTEEL
2953217,TCS
3465729,TECHM
897537,TITAN
900609,TORNTPHARM
502785,TRENT
2170625,TVSMOTOR
4278529,UBL
2952193,ULTRACEMCO
2889473,UPL
784129,VEDL
951809,VOLTAS
4610817,WHIRLPOOL
969473,WIPRO
975873,ZEEL
2029825,ZYDUSLIFE
