,date,Order,Stock,pctCandle,fibRetr,fibBand,entryPrice,SL,Target,trail,Status,entryTime,exitTime,maxTarget,maxTargetTime
0,21-04-2023,Buy,ULTRACEMCO,0.52,0.49,<0.5,7301.05,7264.5,7352.2,0%,No entry,No entry,No exit,7289.9,2023-03-09 10:45:00+05:30
1,21-04-2023,Buy,HDFC,0.59,0.61,>0.5,2751,2737.2,2770.3,0%,SL Hit,2023-04-18 10:30:00+05:30,2023-04-18 11:00:00+05:30,2751.15,2023-04-18 13:00:00+05:30
2,21-04-2023,Buy,TITAN,0.72,0.53,>0.5,2599.95,2587,2618.1,0%,No entry,No entry,No exit,2595,2023-04-13 11:45:00+05:30
3,21-04-2023,Buy,NAUKRI,0.77,0.44,<0.5,3752,3733.2,3778.3,0%,Entered,2023-04-11 15:00:00+05:30,No exit,3765,2023-04-11 15:15:00+05:30
4,21-04-2023,Buy,ULTRACEMCO,0.81,0.6,>0.5,7145,7109.3,7195,0%,Entered,2023-02-15 15:00:00+05:30,No exit,7177,2023-02-15 15:15:00+05:30
5,21-04-2023,Buy,PIDILITIND,0.82,0.51,>0.5,2451.4,2439.1,2468.6,0%,SL Hit,2023-01-17 10:30:00+05:30,2023-01-17 11:15:00+05:30,2464,2023-01-17 10:45:00+05:30
6,21-04-2023,Buy,EXIDEIND,0.84,0.58,>0.5,183.9,183,185.2,0%,Entered,2023-01-17 10:45:00+05:30,No exit,184.6,2023-01-17 13:45:00+05:30
7,21-04-2023,Buy,UBL,0.85,0.48,<0.5,1478.05,1470.7,1488.4,0%,SL Hit,2023-02-16 11:15:00+05:30,2023-02-16 14:15:00+05:30,1479.5,2023-02-16 11:15:00+05:30
8,21-04-2023,Buy,M&M,0.9,0.6,>0.5,1373.4,1366.5,1383,0%,Target Hit,2023-02-15 14:30:00+05:30,2023-02-15 14:45:00+05:30,1383,2023-02-15 14:45:00+05:30
9,21-04-2023,Buy,COALINDIA,0.94,0.55,>0.5,224.25,223.1,225.8,0%,No entry,No entry,No exit,223.9,2023-04-11 10:15:00+05:30
10,21-04-2023,Buy,LTIM,0.95,0.58,>0.5,4505,4482.5,4536.5,0%,SL Hit,2023-01-25 13:00:00+05:30,2023-01-25 13:15:00+05:30,4505,2023-01-25 09:15:00+05:30
11,21-04-2023,Buy,INDIAMART,0.97,0.6,>0.5,4801.05,4777,4834.7,0%,SL Hit,2023-02-21 11:00:00+05:30,2023-02-21 14:45:00+05:30,4810,2023-02-21 11:00:00+05:30
12,21-04-2023,Buy,TCS,0.98,0.6,>0.5,3540,3522.3,3564.8,0%,Entered,2023-02-09 13:45:00+05:30,No exit,3547.5,2023-02-09 14:45:00+05:30
13,21-04-2023,Buy,HDFC,1,0.58,>0.5,2664,2650.7,2682.6,0%,No entry,No entry,No exit,2656.45,2023-02-22 11:15:00+05:30
14,21-04-2023,Buy,CIPLA,1.03,0.43,<0.5,906.3,902.3,912.6,1%,Target Hit,2023-04-18 11:15:00+05:30,2023-04-18 12:45:00+05:30,925.4,2023-04-18 15:15:00+05:30
15,21-04-2023,Buy,POWERGRID,1.04,0.35,<0.5,231.4,230.2,233,0%,SL Hit,2023-04-19 11:15:00+05:30,2023-04-19 12:15:00+05:30,231.4,2023-04-19 09:15:00+05:30
16,21-04-2023,Buy,HINDALCO,1.05,0.43,<0.5,415.5,413.4,418.4,0%,Entered,2023-04-11 13:00:00+05:30,No exit,418,2023-04-11 15:15:00+05:30
17,21-04-2023,Buy,NAUKRI,1.07,0.59,>0.5,3638,3619.8,3663.5,0%,SL Hit,2023-04-20 10:30:00+05:30,2023-04-20 13:30:00+05:30,3656.7,2023-04-20 12:00:00+05:30
18,21-04-2023,Buy,SUNPHARMA,1.07,0.6,>0.5,996.45,991.5,1003.4,0%,No entry,No entry,No exit,996.4,2023-02-17 11:00:00+05:30
19,21-04-2023,Buy,ABFRL,1.09,0.59,>0.5,289.75,288.3,291.8,0%,No entry,No entry,No exit,288.65,2023-01-02 11:00:00+05:30
